,Weight
ADANIPORTS,0.02040816326530612
ITC,0.02040816326530612
KOTAKBANK,0.02040816326530612
LT,0.02040816326530612
MARUTI,0.02040816326530612
MM,0.02040816326530612
NESTLEIND,0.02040816326530612
NTPC,0.02040816326530612
ONGC,0.02040816326530612
POWERGRID,0.02040816326530612
RELIANCE,0.02040816326530612
SBIN,0.02040816326530612
SHREECEM,0.02040816326530612
SUNPHARMA,0.02040816326530612
TATAMOTORS,0.02040816326530612
TATASTEEL,0.02040816326530612
TCS,0.02040816326530612
TECHM,0.02040816326530612
TITAN,0.02040816326530612
ULTRACEMCO,0.02040816326530612
UPL,0.02040816326530612
VEDL,0.02040816326530612
WIPRO,0.02040816326530612
JSWSTEEL,0.02040816326530612
IOC,0.02040816326530612
ASIANPAINT,0.02040816326530612
INFY,0.02040816326530612
AXISBANK,0.02040816326530612
BAJAJ-AUTO,0.02040816326530612
BAJAJFINSV,0.02040816326530612
BAJFINANCE,0.02040816326530612
BHARTIARTL,0.02040816326530612
BPCL,0.02040816326530612
BRITANNIA,0.02040816326530612
CIPLA,0.02040816326530612
COALINDIA,0.02040816326530612
DRREDDY,0.02040816326530612
EICHERMOT,0.02040816326530612
GAIL,0.02040816326530612
GRASIM,0.02040816326530612
HCLTECH,0.02040816326530612
HDFC,0.02040816326530612
HDFCBANK,0.02040816326530612
HEROMOTOCO,0.02040816326530612
HINDALCO,0.02040816326530612
HINDUNILVR,0.02040816326530612
ICICIBANK,0.02040816326530612
INDUSINDBK,0.02040816326530612
ZEEL,0.02040816326530612
